"";"Run No.";"Current Normal Cost";"Current Salary";"Current AAL";"Current ARC";"Expected value of annuity";"Retirement Annuity";"Replacement Rate";"Entry Age";"Retirement Age";"Current Age";"Funding Level(%)";"Discount Rate(%)";"Salary growth rate(%)";"Inflation Rate(%)";"Payroll Growth Rate(%)";"COLA (%)";"AFC";"Benefit Factor(%)";"Cost Method";"Mortality Table";"Vesting Period";"Amortization Period"
"69";23;0;0;2,98451028563135;0,0264784124206299;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"70";23;0;0;2,59283245182511;0,0230034680488612;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"71";23;0;0;2,23615875147884;0,0198390784393401;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"72";23;0;0;1,91309308816678;0,0169728575007477;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"73";23;0;0;1,62224316858939;0,0143924528828932;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"74";23;0;0;1,36220073376562;0,0120853705889308;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"75";23;0;0;1,13152113889042;0,0100387938089693;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"76";23;0;0;0,928703518398662;0,00823940694560143;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"77";23;0;0;0,752173788080272;0,00667324480959656;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"78";23;0;0;0,600271554733808;0,00532557648306184;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"79";23;0;0;0,471242976073684;0,00418084197292839;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
